d1,d2,effect,diff,raw_d1,raw_d2
-4.580363328202204,-4.010299956639812,0.0,-0.084335136,0.0,0.0
-4.580363328202204,-3.4082399653118496,-0.06606688266932778,-0.586553349,0.0,0.000390625
-4.580363328202204,-2.806179973983887,-0.053303759016502736,-0.036105393,0.0,0.0015625
-4.580363328202204,-2.2041199826559246,-0.06737799675065075,0.058020986,0.0,0.00625
-4.580363328202204,-1.6020599913279623,-0.11641403361761832,0.15077293,0.0,0.025
-4.580363328202204,-1.0,-0.6601418579873338,0.696959694,0.0,0.1
-3.8169694401685037,-4.010299956639812,-0.13025867715452402,-0.694517312,0.000152416,0.0
-3.8169694401685037,-3.4082399653118496,-0.028014737921754504,-0.890181431,0.000152416,0.000390625
-3.8169694401685037,-2.806179973983887,-0.02884341302224386,-0.888402605,0.000152416,0.0015625
-3.8169694401685037,-2.2041199826559246,-0.02903457765030107,-0.888096652,0.000152416,0.00625
-3.8169694401685037,-1.6020599913279623,-0.06419458606385656,-0.815891308,0.000152416,0.025
-3.8169694401685037,-1.0,-0.4961673476084718,-0.272643083,0.000152416,0.1
-3.3398491352506046,-4.010299956639812,-0.11023755995754611,-0.720098531,0.000457247,0.0
-3.3398491352506046,-3.4082399653118496,-0.013500956629439178,-0.922036721,0.000457247,0.000390625
-3.3398491352506046,-2.806179973983887,-0.025542628787133613,-0.895456381,0.000457247,0.0015625
-3.3398491352506046,-2.2041199826559246,-0.025465248818172272,-0.894727542,0.000457247,0.00625
-3.3398491352506046,-1.6020599913279623,-0.05473846708726282,-0.828765135,0.000457247,0.025
-3.3398491352506046,-1.0,-0.5480473290310925,-0.227685148,0.000457247,0.1
-2.8627275639301235,-4.010299956639812,-0.1081363474700401,-0.628674834,0.001371742,0.0
-2.8627275639301235,-3.4082399653118496,-0.006679911407010422,-0.937343731,0.001371742,0.000390625
-2.8627275639301235,-2.806179973983887,-0.007716650078681316,-0.9339921,0.001371742,0.0015625
-2.8627275639301235,-2.2041199826559246,-0.009824841133443875,-0.91694633,0.001371742,0.00625
-2.8627275639301235,-1.6020599913279623,-0.09247712693499609,-0.690574695,0.001371742,0.025
-2.8627275639301235,-1.0,-0.7616310273412364,-0.025540387,0.001371742,0.1
-2.3856063092104614,-4.010299956639812,-0.0997418841985582,-0.214872204,0.004115226,0.0
-2.3856063092104614,-3.4082399653118496,0.0,-0.952538847,0.004115226,0.000390625
-2.3856063092104614,-2.806179973983887,-0.007314256315454952,-0.925213885,0.004115226,0.0015625
-2.3856063092104614,-2.2041199826559246,-0.027953539025629883,-0.756426693,0.004115226,0.00625
-2.3856063092104614,-1.6020599913279623,-0.44860250115560596,0.132311654,0.004115226,0.025
-2.3856063092104614,-1.0,-0.9767257726727624,0.466785312,0.004115226,0.1
-1.9084850193129443,-4.010299956639812,-0.10769229118995186,0.090374941,0.012345679,0.0
-1.9084850193129443,-3.4082399653118496,-0.009622866371986512,-0.930111089,0.012345679,0.000390625
-1.9084850193129443,-2.806179973983887,-0.030506034887071425,-0.826034946,0.012345679,0.0015625
-1.9084850193129443,-2.2041199826559246,-0.22069740621622527,0.031248588,0.012345679,0.00625
-1.9084850193129443,-1.6020599913279623,-0.8232791954019435,0.698276546,0.012345679,0.025
-1.9084850193129443,-1.0,-1.1950813846217638,0.805346697,0.012345679,0.1
-1.4313637645932817,-4.010299956639812,-0.2752229701513588,0.380970534,0.037037037,0.0
-1.4313637645932817,-3.4082399653118496,-0.20658625464265531,-0.561096842,0.037037037,0.000390625
-1.4313637645932817,-2.806179973983887,-0.34533850649026565,-0.087395885,0.037037037,0.0015625
-1.4313637645932817,-2.2041199826559246,-0.6989520748584401,0.680638023,0.037037037,0.00625
-1.4313637645932817,-1.6020599913279623,-1.0609476202043928,0.822595295,0.037037037,0.025
-1.4313637645932817,-1.0,-1.3824836900689936,0.869987616,0.037037037,0.1
-0.9542425098736194,-4.010299956639812,-0.8591103509051625,0.77698823,0.111111111,0.0
-0.9542425098736194,-3.4082399653118496,-0.8013662143942277,0.027302869,0.111111111,0.000390625
-0.9542425098736194,-2.806179973983887,-0.8539055924249799,0.658793424,0.111111111,0.0015625
-0.9542425098736194,-2.2041199826559246,-1.0203133195206533,0.817137444,0.111111111,0.00625
-0.9542425098736194,-1.6020599913279623,-1.2958644348204864,0.864581342,0.111111111,0.025
-0.9542425098736194,-1.0,-1.5923767803819695,0.889737615,0.111111111,0.1
-0.47712125515395687,-4.010299956639812,-1.2150483081582713,0.854687179,0.333333333,0.0
-0.47712125515395687,-3.4082399653118496,-1.1359858057708478,0.193877462,0.333333333,0.000390625
-0.47712125515395687,-2.806179973983887,-1.1813949375052335,0.780472595,0.333333333,0.0015625
-0.47712125515395687,-2.2041199826559246,-1.3117675791150607,0.865441493,0.333333333,0.00625
-0.47712125515395687,-1.6020599913279623,-1.4972383699537386,0.883778346,0.333333333,0.025
-0.47712125515395687,-1.0,-1.825544649605251,0.90068951,0.333333333,0.1
0.0,-4.010299956639812,-1.5369103177504846,0.886615974,1.0,0.0
0.0,-3.4082399653118496,-1.4979715486149074,0.240346957,1.0,0.000390625
0.0,-2.806179973983887,-1.4700121200448821,0.814426078,1.0,0.0015625
0.0,-2.2041199826559246,-1.5879096594530577,0.888479184,1.0,0.00625
0.0,-1.6020599913279623,-1.7765812161122632,0.898909793,1.0,0.025
0.0,-1.0,-2.042708229702041,0.906598285,1.0,0.1
