drug1.conc,drug2.conc,effect,model.effect,diff
0.0,0.0,1.0,0.8080424486997504,0.1919575513002496
0.0,0.05,0.072361139,0.805388031608324,0.733026892608324
0.0,0.016666667,0.172509043,0.7828528577663182,0.6103438147663182
0.0,0.005555556,0.468205354,0.6171864966854804,0.1489811426854804
0.0,0.001851852,0.687024936,0.22539243322389688,0.4616325027761031
0.0,0.000617284,0.848220604,0.07061466767709285,0.7776059363229071
1.0,0.0,0.046683259,0.8080400855036989,0.7613568265036988
1.0,0.05,0.022570358,0.8053855429340251,0.7828151849340251
1.0,0.016666667,0.026515208,0.782850348535971,0.7563351405359711
1.0,0.005555556,0.031224429,0.6171847961285172,0.5859603671285172
1.0,0.001851852,0.041841239,0.22539223137670283,0.18355099237670283
1.0,0.000617284,0.043722592,0.07061466215204033,0.026892070152040336
0.333333333,0.0,0.111599422,0.808023008393033,0.696423586393033
0.333333333,0.05,0.025817577,0.8053675591087393,0.7795499821087393
0.333333333,0.016666667,0.038685352,0.7828322161862761,0.7441468641862761
0.333333333,0.005555556,0.057057849,0.6171725074192591,0.5601146584192591
0.333333333,0.001851852,0.104427328,0.2253907727491311,0.12096344474913111
0.333333333,0.000617284,0.139986729,0.07061462222553339,0.06937210677446662
0.111111111,0.0,0.340424506,0.8078825517383116,0.46745804573831157
0.111111111,0.05,0.034043317,0.8052196465980098,0.7711763295980099
0.111111111,0.016666667,0.071146675,0.7826830833710758,0.7115364083710758
0.111111111,0.005555556,0.167164171,0.6170714338037612,0.44990726280376114
0.111111111,0.001851852,0.374479333,0.22537877417681268,0.14910055882318735
0.111111111,0.000617284,0.385914159,0.07061429377312885,0.31529986522687115
0.037037037,0.0,0.645008658,0.8067290029534763,0.1617203449534763
0.037037037,0.05,0.045657238,0.8040049810366494,0.7583477430366494
0.037037037,0.016666667,0.146551188,0.7814584823941217,0.6349072943941217
0.037037037,0.005555556,0.453911449,0.6162412752401604,0.16232982624016035
0.037037037,0.001851852,0.886069381,0.22528012498729869,0.6607892560127013
0.037037037,0.000617284,0.809842841,0.07061159199299566,0.7392312490070043
0.012345679,0.0,0.709087717,0.7973672733501118,0.08827955635011187
0.012345679,0.05,0.065029112,0.7941549636030737,0.7291258516030736
0.012345679,0.016666667,0.217707866,0.7715335423713257,0.5538256763713256
0.012345679,0.005555556,0.772434868,0.6095003141578502,0.16293455384214983
0.012345679,0.001851852,0.791550716,0.2244724238822643,0.5670782921177357
0.012345679,0.000617284,0.941053748,0.07058938140257513,0.8704643665974249
0.004115226,0.0,0.747563106,0.7281256182904317,0.019437487709568324
0.004115226,0.05,0.071622847,0.7142280211663531,0.6426051741663531
0.004115226,0.016666667,0.277523177,0.6619278760028197,0.38440469900281965
0.004115226,0.005555556,0.656298746,0.39276018769796456,0.2635385583020355
0.004115226,0.001851852,0.799738635,0.08175624212418069,0.7179823928758193
0.004115226,0.000617284,0.915676851,0.029698650792763792,0.8859782002072362
0.001371742,0.0,0.733059574,0.4302628068037161,0.3027967671962839
0.001371742,0.05,0.078874446,0.4046386498689563,0.3257642038689563
0.001371742,0.016666667,0.3364575,0.363975947579416,0.02751844757941596
0.001371742,0.005555556,0.643883651,0.24373428793907562,0.4001493630609244
0.001371742,0.001851852,0.724145647,0.0737472811663449,0.6503983658336551
0.001371742,0.000617284,0.901552027,0.029622146652922374,0.8719298803470776
0.000457247,0.0,0.657889131,0.11731744125533834,0.5405716897446616
0.000457247,0.05,0.06386691,0.1076873206979085,0.0438204106979085
0.000457247,0.016666667,0.195516723,0.09658299050601155,0.09893373249398846
0.000457247,0.005555556,0.535147387,0.07675671636880019,0.45839067063119976
0.000457247,0.001851852,0.755629283,0.04803640146002733,0.7075928815399727
0.000457247,0.000617284,0.824374105,0.029097633400544234,0.7952764715994557
0.000152416,0.0,0.598979755,0.03997563988079632,0.5590041151192037
0.000152416,0.05,0.052233313,0.038335865214142825,0.013897447785857178
0.000152416,0.016666667,0.21476968,0.036544611036814986,0.17822506896318502
0.000152416,0.005555556,0.570409276,0.0337223345363232,0.5366869414636768
0.000152416,0.001851852,0.686699521,0.030399816684841506,0.6562997043151585
0.000152416,0.000617284,0.910359676,0.02744413536809106,0.8829155406319089
